
time 02h 56m 02s, episodes 5633, frames 37.2 M, mean_epr 1.15, run_loss -173.75
time 02h 57m 02s, episodes 5653, frames 37.5 M, mean_epr 1.09, run_loss -175.57
time 02h 58m 02s, episodes 5674, frames 37.7 M, mean_epr 1.12, run_loss -174.33
time 02h 59m 02s, episodes 5695, frames 37.9 M, mean_epr 1.27, run_loss -173.58

	38M frames: saved model

time 03h 00m 02s, episodes 5716, frames 38.1 M, mean_epr 1.51, run_loss -175.20
time 03h 01m 02s, episodes 5738, frames 38.3 M, mean_epr 1.88, run_loss -174.41
time 03h 02m 02s, episodes 5759, frames 38.5 M, mean_epr 1.89, run_loss -176.07
time 03h 03m 02s, episodes 5781, frames 38.7 M, mean_epr 1.93, run_loss -178.48
time 03h 04m 02s, episodes 5801, frames 39.0 M, mean_epr 2.03, run_loss -178.00
time 03h 05m 02s, episodes 5823, frames 39.2 M, mean_epr 1.73, run_loss -179.10
time 03h 06m 02s, episodes 5846, frames 39.4 M, mean_epr 1.34, run_loss -181.42
time 03h 07m 02s, episodes 5866, frames 39.6 M, mean_epr 1.56, run_loss -179.36
time 03h 08m 02s, episodes 5887, frames 39.8 M, mean_epr 1.79, run_loss -177.56

	40M frames: saved model

time 03h 09m 02s, episodes 5910, frames 40.0 M, mean_epr 1.95, run_loss -179.83
time 03h 10m 02s, episodes 5932, frames 40.2 M, mean_epr 2.06, run_loss -179.22
time 03h 11m 02s, episodes 5951, frames 40.4 M, mean_epr 2.33, run_loss -180.10
time 03h 12m 02s, episodes 5971, frames 40.7 M, mean_epr 2.40, run_loss -181.08
time 03h 13m 02s, episodes 5996, frames 40.9 M, mean_epr 2.71, run_loss -179.71
time 03h 14m 02s, episodes 6015, frames 41.1 M, mean_epr 2.94, run_loss -179.25
time 03h 15m 02s, episodes 6035, frames 41.3 M, mean_epr 2.97, run_loss -179.41
time 03h 16m 02s, episodes 6059, frames 41.5 M, mean_epr 3.30, run_loss -180.57
time 03h 17m 02s, episodes 6079, frames 41.7 M, mean_epr 3.40, run_loss -181.35
time 03h 18m 03s, episodes 6101, frames 41.9 M, mean_epr 3.34, run_loss -180.58

	42M frames: saved model

time 03h 19m 03s, episodes 6122, frames 42.1 M, mean_epr 3.06, run_loss -183.23
time 03h 20m 03s, episodes 6143, frames 42.4 M, mean_epr 3.77, run_loss -181.44
time 03h 21m 03s, episodes 6164, frames 42.6 M, mean_epr 3.93, run_loss -181.69
time 03h 22m 03s, episodes 6183, frames 42.8 M, mean_epr 3.88, run_loss -182.77
time 03h 23m 03s, episodes 6206, frames 43.0 M, mean_epr 4.07, run_loss -182.51
time 03h 24m 03s, episodes 6227, frames 43.2 M, mean_epr 3.88, run_loss -181.71
time 03h 25m 03s, episodes 6248, frames 43.4 M, mean_epr 3.83, run_loss -180.42
time 03h 26m 03s, episodes 6270, frames 43.7 M, mean_epr 3.52, run_loss -180.16
time 03h 27m 03s, episodes 6293, frames 43.9 M, mean_epr 3.59, run_loss -179.99

	44M frames: saved model

time 03h 28m 03s, episodes 6314, frames 44.1 M, mean_epr 3.57, run_loss -181.32
time 03h 29m 03s, episodes 6336, frames 44.3 M, mean_epr 3.64, run_loss -182.40
time 03h 30m 03s, episodes 6359, frames 44.5 M, mean_epr 4.02, run_loss -181.30
time 03h 31m 03s, episodes 6379, frames 44.7 M, mean_epr 4.11, run_loss -180.64
time 03h 32m 03s, episodes 6400, frames 44.9 M, mean_epr 3.91, run_loss -181.92
time 03h 33m 03s, episodes 6420, frames 45.1 M, mean_epr 4.33, run_loss -179.51
time 03h 34m 03s, episodes 6443, frames 45.3 M, mean_epr 4.69, run_loss -177.90
time 03h 35m 03s, episodes 6464, frames 45.6 M, mean_epr 4.74, run_loss -181.14
time 03h 36m 03s, episodes 6484, frames 45.8 M, mean_epr 4.97, run_loss -179.54
time 03h 37m 03s, episodes 6504, frames 46.0 M, mean_epr 5.19, run_loss -180.84

	46M frames: saved model

time 03h 38m 03s, episodes 6526, frames 46.2 M, mean_epr 5.31, run_loss -181.69
time 03h 39m 03s, episodes 6547, frames 46.4 M, mean_epr 5.36, run_loss -180.11
time 03h 40m 03s, episodes 6568, frames 46.6 M, mean_epr 5.22, run_loss -180.02
time 03h 41m 03s, episodes 6590, frames 46.8 M, mean_epr 5.79, run_loss -177.04
time 03h 42m 03s, episodes 6611, frames 47.0 M, mean_epr 5.89, run_loss -179.25
time 03h 43m 03s, episodes 6632, frames 47.3 M, mean_epr 5.84, run_loss -181.06
time 03h 44m 03s, episodes 6654, frames 47.5 M, mean_epr 6.44, run_loss -181.11
time 03h 45m 03s, episodes 6674, frames 47.7 M, mean_epr 6.79, run_loss -179.55
